show_id,type,title,cast,release_year,duration.int,duration.type,rating
ns180,movie,the nutty professor,"eddie murphy, jada pinkett smith, james coburn, larry miller, dave chappelle, john ales, patricia wilson, jamal mixon",1996,95.0,min,3.55078125
ns181,movie,the nutty professor ii: the klumps,"eddie murphy, janet jackson, larry miller, john ales, richard gant, anna maria horsford, melinda mcgraw, jamal mixon, gabriel williams, chris elliott",2000,107.0,min,3.5
ns182,tv show,turning point: 9/11 and the war on terror,,2021,1.0,seasons,3.4833333333333334
ns183,movie,welcome home roscoe jenkins,"martin lawrence, james earl jones, joy bryant, margaret avery, mike epps, mo'nique, cedric the entertainer, nicole ari parker, michael clarke duncan, louis c.k.",2008,114.0,min,3.5792291220556747
ns184,movie,in the line of fire,"clint eastwood, john malkovich, rene russo, dylan mcdermott, gary cole, fred thompson, john mahoney, gregory alan williams, jim curley, sally hughes",1993,129.0,min,3.5339147286821704
ns185,tv show,sparking joy,marie kondo,2021,1.0,seasons,3.461988304093567
ns186,movie,untold: crime & penalties,,2021,86.0,min,3.547732696897375
ns187,tv show,hometown cha-cha-cha,"shin min-a, kim seon-ho, lee sang-yi, gong min-jeung, kim young-ok, cho han-cheul, in gyo-jin, lee bong-ryeon, cha cheong-hwa, kang hyung-suk",2021,1.0,seasons,3.536610878661088
ns188,tv show,the ingenuity of the househusband,kenjiro tsuda,2021,1.0,seasons,3.523454157782516
ns189,movie,2 alone in paris,"ramzy bedia, éric judor, benoît magimel, kristin scott thomas, élodie bouchez, édouard baer, fred testot, omar sy",2008,97.0,min,3.5467391304347826
ns190,tv show,bread barbershop,"um sang-hyun, park yoon-hee, kang shi-hyun, hong bum-ki, kim hyun-wook, lee in-suk, song ha-rim",2020,2.0,seasons,3.4755244755244754
ns191,movie,thimmarusu,"satya dev, priyanka jawalkar, brahmaji",2021,125.0,min,3.482107355864811
ns192,movie,wind river,"jeremy renner, elizabeth olsen, jon bernthal, gil birmingham, kelsey asbille, tantoo cardinal, teo briones, matthew del negro, hugh dillon, julia jones, james jordan, eric lange, martin sensmeier, mason davis, graham greene",2017,107.0,min,3.512
ns193,movie,c kkompany,"mithun chakraborty, tusshar kapoor, anupam kher, rajpal yadav, raima sen, dilip prabhavalkar, sanjay mishra",2008,127.0,min,3.4936440677966103
ns194,tv show,d.p.,"jung hae-in, koo kyo-hwan, kim sung-kyun, son suk-ku",2021,1.0,seasons,3.5233463035019454
ns195,tv show,deadly sins,"frank ramirez, patricia castañeda, chela del río, patrick delmas, maría josé martínez, robinson díaz, juan ángel, guillermo olarte, constanza duque, marcela carvajal",2002,1.0,seasons,3.504494382022472
ns196,movie,emi: liya hai to chukana padega,"sanjay dutt, arjun rampal, malaika arora, aashish chaudhary, neha uberoi, urmila matondkar, manoj joshi, daya shankar pandey, pushkar jog, kulbhushan kharbanda",2008,128.0,min,3.6154661016949152
ns197,movie,he's all that,"addison rae, tanner buchanan, rachael leigh cook, madison pettis, isabella crovetti, matthew lillard, peyton meyer, annie jacob, myra molloy, kourtney kardashian",2021,92.0,min,3.6655982905982905
ns198,tv show,i heart arlo,"michael j. woodard, mary lambert, jonathan van ness, haley tju, brett gelman, tony hale, vincent rodriguez iii, annie potts, jessica williams, melissa villaseñor, cathy vu, jennifer coolidge, flea",2021,1.0,seasons,3.472
ns199,tv show,king of boys: the return of the king,"sola sobowale, toni tones, richard mofe-damijo, efa iwara, titi kuti, tobechukwu ""illbliss"" ejiofor, remilekun ""reminisce"" safaru, charles  ""charly boy"" oputa, nse ikpe-etim, keppy ekpenyong bassey, bimbo manuel, akin lewis, lord frank, osas ighodaro, taiwo ajai-lycett, paul sambo",2021,1.0,seasons,3.5580912863070537
ns200,movie,koi aap sa,"aftab shivdasani, natassha, dipannita sharma, himanshu mallik, vaidya advai, pushy anand, shama deshpande, rajendra gupta",2006,135.0,min,3.513948497854077
ns201,movie,krishna cottage,"sohail khan, isha koppikar, natassha, rati agnihotri, vrajesh hirjee, divya palat, hiten tejwani, rajendranath zutshi",2004,124.0,min,3.546808510638298
ns202,movie,kucch to hai,"tusshar kapoor, esha deol, natassha, vrajesh hirjee, kusumit sana, rishi kapoor, moon moon sen, johny lever, ashay chitre, jeetendra",2003,136.0,min,3.4830148619957537
ns203,movie,kyaa kool hai hum,"tusshar kapoor, riteish deshmukh, isha koppikar, neha dhupia, anupam kher, jay sean",2005,165.0,min,3.5559006211180124
ns204,movie,kyaa kool hain hum 3,"tusshar kapoor, aftab shivdasani, krishna abhishek, mandana karimi, shakti kapoor, darshan jariwala, sushmita mukherjee, meghna naidu, anand kumar, claudia ciesla",2016,124.0,min,3.5948979591836734
ns205,movie,kyaa super kool hain hum,"tusshar kapoor, riteish deshmukh, anupam kher, rohit shetty, neha sharma, chunky pandey, sarah-jane dias, razak khan, kavin dave",2012,136.0,min,3.5414012738853504
ns206,movie,kyo kii... main jhuth nahin bolta,"govinda, sushmita sen, rambha, anupam kher, satish kaushik, sharad kapoor, kiran kumar, mohnish bahl",2001,150.0,min,3.461
ns207,movie,"lsd: love, sex aur dhokha","nushrat bharucha, anshuman jha, neha chauhan, rajkummar rao, arya banerjee, amit sial, herry tangri",2010,112.0,min,3.514910536779324
ns208,movie,mission istaanbul: darr ke aagey jeet hai,"vivek oberoi, zayed khan, shriya saran, nikitin dheer, shabbir ahluwalia, sunil shetty, shweta bhardwaj",2008,119.0,min,3.6145610278372593
